LocalityCo,LocNameHeb
"706",גיאה
"744",תלמי יפה
"820",חלץ
"746",ברכיה
"699",ניר ישראל
"726",הודייה
"756",בית עזרא
"1419",ניצן ב'
"351",ניצן
"359",ניצנים
"107",כפר סילבר
"791",משען
"747",בית שקמה
"1323",בת הדר
"7100",אשקלון
"584",זיקים
"1242",נתיב העשרה
"768",כרמייה
"573",מבקיעים
"358",יד מרדכי
